name,url of google scholar,numer of publications
Prateek Mittal,https://scholar.google.com/citations?user=xTKD8J4AAAAJ&hl=en&oi=ao,25
Ravi Netravali,https://scholar.google.com/citations?user=4C9naMgAAAAJ&hl=en&oi=ao,22
Margaret Martonosi,https://scholar.google.com/citations?user=tgYsFS0AAAAJ&hl=en&oi=ao,19
Kyle Jamieson,https://scholar.google.com/citations?user=--nVNvIAAAAJ&hl=en&oi=ao,18
Abhik Roychoudhury,https://scholar.google.com/citations?user=UxFWSJIAAAAJ&hl=en&oi=ao,25
Jin Song Dong,https://scholar.google.com/citations?user=tuLa1AsAAAAJ&hl=en&oi=ao,18
Prateek Saxena,https://scholar.google.com/citations?user=7YoDkzsAAAAJ&hl=en&oi=ao,18
Zhiyun Qian,None,40
Nael B. Abu-Ghazaleh,https://scholar.google.com/citations?user=AN3f7iAAAAAJ&hl=en&oi=ao,22
Mathias Payer,https://scholar.google.com/citations?user=9cFCY5wAAAAJ&hl=en&oi=ao,43
Sanidhya Kashyap,https://scholar.google.com/citations?user=rJTH4mYAAAAJ&hl=en&oi=ao,21
Ion Stoica,https://scholar.google.com/citations?user=vN-is70AAAAJ&hl=en&oi=ao,39
Raluca A. Popa,https://scholar.google.com/citations?user=NvKHgzkAAAAJ&hl=en&oi=ao,26
Dawn Song,https://scholar.google.com/citations?user=84WzBlYAAAAJ&hl=en&oi=ao,26
Aditya Akella,https://scholar.google.com/citations?user=d_rxnzAAAAAJ&hl=en&oi=ao,27
Isil Dillig,https://scholar.google.com/citations?user=Wlq5rZEAAAAJ&hl=en&oi=ao,22
Thomas Ristenpart,https://scholar.google.com/citations?user=MGVrVSIAAAAJ&hl=en&oi=ao,22
Rachit Agarwal 0001,https://scholar.google.com/citations?user=0YTyPHoAAAAJ&hl=en&oi=ao,18
Shiqing Ma,https://scholar.google.com/citations?user=X_mDnjkAAAAJ&hl=en&oi=ao,28
Amir Houmansadr,https://scholar.google.com/citations?user=cTTFHNwAAAAJ&hl=en&oi=ao,18
David R. Choffnes,https://scholar.google.com/citations?user=OG2QONwAAAAJ&hl=en&oi=ao,18
Suman Jana,https://scholar.google.com/citations?user=SDY9FwUAAAAJ&hl=en&oi=ao,21
Jason Nieh,https://scholar.google.com/citations?user=UGrnqBUAAAAJ&hl=en&oi=ao,18
